MERGE @ lap 1.00: Disabled. Cannot plan merge on first lap. Need valid SS that represent whole dataset.
PLANNING merges at lap 2.00. K=18
   0/18 UIDs ineligible because on shortlist for births. 
   153/153 pairs eligible. 0 disqualified by past failures.
   Prioritizing elible pairs via ranking procedure: obsmodel_elbo
Chosen uid pairs:
  14,   20 : pair_score 1.343e-03, size 7451 5420
   7,   11 : pair_score 1.298e-03, size 5911 6240
  11,   20 : pair_score 1.155e-03, size 6240 5420
   7,   20 : pair_score 1.068e-03, size 5911 5420
  11,   14 : pair_score 1.024e-03, size 6240 7451
  10,   20 : pair_score 1.015e-03, size 4358 5420
  10,   11 : pair_score 7.285e-04, size 4358 6240
   8,   14 : pair_score 7.265e-04, size 5230 7451
   8,   20 : pair_score 7.092e-04, size 5230 5420
   7,   10 : pair_score 7.021e-04, size 5911 4358
   8,   11 : pair_score 6.923e-04, size 5230 6240
   6,   21 : pair_score 5.661e-04, size 4002 1588
   7,    8 : pair_score 4.685e-04, size 5911 5230
   4,    7 : pair_score 4.381e-04, size 5584 5911
   7,   14 : pair_score 3.047e-04, size 5911 7451
  11,   21 : pair_score 2.393e-04, size 6240 1588
  14,   21 : pair_score 1.115e-04, size 7451 1588
   0,    9 : pair_score 5.909e-12, size <.01 5024
   0,   19 : pair_score 5.909e-12, size <.01 3463
   0,    5 : pair_score 5.909e-12, size <.01 2262
   0,    4 : pair_score 5.909e-12, size <.01 5584
   0,    6 : pair_score 5.909e-12, size <.01 4002
   0,   10 : pair_score 5.909e-12, size <.01 4358
   0,    7 : pair_score 5.909e-12, size <.01 5911
   0,   11 : pair_score 5.909e-12, size <.01 6240
   0,   20 : pair_score 5.909e-12, size <.01 5420
   0,   21 : pair_score 5.909e-12, size <.01 1588
   0,   14 : pair_score 5.909e-12, size <.01 7451
   0,    8 : pair_score 5.909e-12, size <.01 5230
   0,   16 : pair_score 5.908e-12, size <.01 1739
   0,   15 : pair_score 5.907e-12, size <.01 1721
   1,    9 : pair_score 1.668e-12, size <.01 5024
   1,   19 : pair_score 1.668e-12, size <.01 3463
   1,   11 : pair_score 1.668e-12, size <.01 6240
   1,    6 : pair_score 1.667e-12, size <.01 4002
   1,   14 : pair_score 1.667e-12, size <.01 7451
   1,   20 : pair_score 1.667e-12, size <.01 5420
   1,    5 : pair_score 1.667e-12, size <.01 2262
   1,    4 : pair_score 1.667e-12, size <.01 5584
   1,    7 : pair_score 1.667e-12, size <.01 5911
   1,   10 : pair_score 1.667e-12, size <.01 4358
   1,   21 : pair_score 1.667e-12, size <.01 1588
   1,    8 : pair_score 1.667e-12, size <.01 5230
   1,   16 : pair_score 1.667e-12, size <.01 1739
   1,   15 : pair_score 1.667e-12, size <.01 1721
   3,    9 : pair_score 1.062e-12, size <.01 5024
   3,   20 : pair_score 1.062e-12, size <.01 5420
   3,    4 : pair_score 1.062e-12, size <.01 5584
   3,    6 : pair_score 1.062e-12, size <.01 4002
   3,   19 : pair_score 1.062e-12, size <.01 3463
   3,   10 : pair_score 1.062e-12, size <.01 4358
   3,   21 : pair_score 1.061e-12, size <.01 1588
   3,    5 : pair_score 1.061e-12, size <.01 2262
   3,    7 : pair_score 1.061e-12, size <.01 5911
   3,   11 : pair_score 1.061e-12, size <.01 6240
   3,   14 : pair_score 1.061e-12, size <.01 7451
   3,    8 : pair_score 1.061e-12, size <.01 5230
   3,   16 : pair_score 1.061e-12, size <.01 1739
   3,   15 : pair_score 1.061e-12, size <.01 1721
   2,   14 : pair_score 6.073e-13, size <.01 7451
   2,    6 : pair_score 6.073e-13, size <.01 4002
   2,   10 : pair_score 6.072e-13, size <.01 4358
   2,   19 : pair_score 6.072e-13, size <.01 3463
   2,    7 : pair_score 6.072e-13, size <.01 5911
   2,    4 : pair_score 6.072e-13, size <.01 5584
   2,   11 : pair_score 6.072e-13, size <.01 6240
   2,   20 : pair_score 6.072e-13, size <.01 5420
   2,    9 : pair_score 6.072e-13, size <.01 5024
   2,    8 : pair_score 6.072e-13, size <.01 5230
   2,   21 : pair_score 6.072e-13, size <.01 1588
   2,    5 : pair_score 6.072e-13, size <.01 2262
